,1
Unnamed: 0,1
J,1
S,2
gamma,10
D,46
mu,[4.]
lab,[5.6]
load,0.7
imbalance,[1]
t,[1.]
c,[1.]
r,[1.]
t_prob,0.5891853432942012
e,0.001
P,1000.0
size,141
size_i,282
vi_job_id,1_2
vi_attempts,0
vi_time,(MM:SS): 04:03
vi_iter,511
vi_g_tmp,5.11523973941803
vi_g,5.11523973941803
ospi_job_id,
ospi_attempts,0
ospi_time,00:00
ospi_iter,0
ospi_g_tmp,
ospi_g,
ospi_opt_gap_tmp,
ospi_opt_gap,
sdf_job_id,
sdf_attempts,0
sdf_time,00:00
sdf_iter,0
sdf_g_tmp,
sdf_g,
sdf_opt_gap_tmp,
sdf_opt_gap,
fcfs_job_id,
fcfs_attempts,0
fcfs_time,00:00
fcfs_iter,0
fcfs_g_tmp,
fcfs_g,
fcfs_opt_gap_tmp,
fcfs_opt_gap,
pi_job_id,
pi_attempts,0
pi_time,00:00
pi_iter,0
pi_g_tmp,
pi_g,
pi_opt_gap_tmp,
pi_opt_gap,
